Subclass/&BardSubclassCollegeTitle	大学
Feature/&BardClassMagicalSecretsDescription	到 10 级时，你已经从广泛的学科中掠夺了魔法知识。从任何类别中选择两个法术，包括这个。你选择的法术必须是你可以施展的等级。\n所选法术对您算作吟游诗人法术，并包含在吟游诗人表的已知法术列中的数字中。\n你在 14 级和 18 级从任何职业学习两个额外的法术。
Feature/&BardClassCountercharmPowerTitle	反魅力
Feature/&BardClassCountercharmPowerDescription	在第 6 级，你获得使用音符或力量的词来破坏影响心灵的效果的能力。作为一个动作，你可以开始一个持续到你下一个回合结束的表演。在此期间，您和您周围 30 英尺内的任何友方生物在对抗惊吓或魅惑的豁免检定上具有优势。
Feature/&BardClassCountercharmPowerEffectDescription	你在对抗惊吓或魅惑的豁免检定上有优势。
Stage/&SubclassSelectionStageCollegeHeader	巴德学院
Stage/&SubclassSelectionStageCollegeTitle	巴德学院
Stage/&SubclassSelectionStageCollegeFeatures	学院特色
Subclass/&BardSubclassCollegeOfLoreTitle	知识学院
Subclass/&BardSubclassCollegeOfLoreDescription	知识学院的吟游诗人对大多数事物都了如指掌，他们从学术书籍和农民故事等多种多样的来源中收集知识。无论是在酒馆里唱民谣，还是在宫廷里唱出精美的作品，这些吟游诗人都用他们的天赋让观众着迷。当掌声平息时，观众可能会发现自己质疑他们认为真实的一切，从对当地寺庙祭司的信仰到对国王的忠诚。
Feature/&BardLoreSublclassExtraSkillPointPoolTitle	额外技能
Feature/&BardLoreSublclassExtraSkillPointPoolDescription	当您在第 3 级加入知识学院时，您将熟练掌握三种您选择的技能。
Feature/&BardClassCuttingWordsTitle	切词
Feature/&BardClassCuttingWordsPowerAttackRollTitle	切词：攻击掷骰惩罚
Feature/&BardClassCuttingWordsPowerDamageRollTitle	切割词：伤害卷罚
Feature/&BardClassCuttingWordsDescription	在第 3 级，您将学习如何使用您的智慧来分散、混淆或以其他方式削弱他人的信心和能力。当一个你在你周围 60 英尺内可以看到的生物进行攻击检定、能力检定或伤害检定时，你可以使用你的反应来消耗你使用的一次吟游灵感，掷出一个吟游灵感骰子并减去这个数字从生物的卷中滚出。如果该生物无法听到您的声音或免疫被魅惑，则该生物免疫。
Reaction/&UseBardClassCuttingWordsAttackRollsPenaltyPowerReactDescription	花费 1 次灵感从目标的攻击检定中减去灵感骰。这会使用您的反应直到您的下一个回合。
Reaction/&UseBardClassCuttingWordsDamageRollsPenaltyPowerReactDescription	花费一次灵感从目标的伤害掷骰中减去灵感骰。这会使用您的反应直到您的下一个回合。
Feature/&BardLoreSubclassAdditionalMagicalSecretsTitle	额外的魔法秘密
Feature/&BardLoreSubclassAdditionalMagicalSecretsDescription	在第 6 级时，你可以从任何职业中学习两个你选择的法术。你选择的法术必须是你可以施展的等级，如吟游诗人表所示，或者是戏法。所选法术对您算作吟游诗人法术，但不计入您知道的吟游诗人法术数量。
Subclass/&BardSubclassCollegeOfVirtueTitle	美德学院
Subclass/&BardSubclassCollegeOfVirtueDescription	天体的运动和存在位面的微妙舞蹈创造了一种音乐形式，一种反映在有序宇宙中的音乐形式。美德学院作为一个致力于研究和维护宇宙和谐的机构而出现，以对抗那些会破坏它的混乱和破坏力量。沉浸在宗教神秘主义中，学院的吟游诗人在世界上扮演着正义和秩序的力量，无论发现邪恶的地方，都致力于挫败邪恶，并用他们创造的音乐提升他人。大多数人将自己视为神圣的战士，众神的勇士，他们将自己的生命献给在物质层面进一步发展自己的利益。
Feature/&BardVirtueSublclassBonusProficiencieslTitle	额外技能
Feature/&BardVirtueSublclassBonusProficiencieslDescription	在第 3 级加入美德学院后，你将获得中型盔甲和盾牌的熟练程度。此外，你还可以熟练进行感知豁免。
Feature/&BardVirtueSubclassMusicOfTheSpheresTitle	领域的音乐
Feature/&BardVirtueSubclassMusicOfTheSpheresDescription	在第 3 级，您将学习如何制作天堂的音乐并激励他人走向伟大。当你在 60 英尺范围内看到的生物进行攻击检定时，你可以使用你的反应来消耗你对吟游灵感的一次使用。掷一个吟游诗人骰子，并将该数字加到该生物的总攻击掷骰上。你可以在生物进行掷骰后使用此特性，但在 GM 决定攻击掷骰成功还是失败之前。如果攻击的目标是恶魔或不死生物，它会受到额外的辐射伤害，等同于吟游灵感骰子上滚动的数量。
Reaction/&UseBardVirtueSubclassMusicOfTheSpheresPowerReactDescription	消耗一次灵感，将灵感骰添加到盟友的攻击检定中。这会使用你的反应直到你的下一个回合。对不死生物和恶魔来说，这种攻击会造成相当于灵感骰值的额外伤害。
Feedback/&AdditionalDamageBardVirtueSubclassMusicOfTheSpheresLine	天球音乐造成的额外伤害
Feedback/&AdditionalDamageBardVirtueSubclassMusicOfTheSpheresFormat	天球音乐造成的额外伤害
Subclass/&BardSubclassCollegeOfNatureTitle	自然学院
Subclass/&BardSubclassCollegeOfNatureDescription	自然学院的吟游诗人努力保护所有生物之间存在的平衡。这所学院的成员在荒野中比喧闹的小酒馆或宫廷更自在。他们感受到将所有生命联系在一起并维持其和谐的联系。\n这些吟游诗人中的大多数人都崇敬自然的力量，但也有一些人献身于奥博里或多元宇宙中众多自然之神之一。虽然所有生命对自然学院的吟游诗人来说都是宝贵的，但他们也知道，自然可以为那些只在需要时才夺走生命的人提供食物和效用。\n当这所学院的成员表演时，仿佛大自然本身与沙沙作响的树叶、呼啸的风、汹涌的海浪和歌唱的鸟儿融为一体。他们只伤害那些不必要地夺走生命、掠夺自然或使用黑暗魔法违背自然平衡的人。为了保护自然，他们获得魔法能量作为回报。
Feature/&BardNatureSubclassBonusProficiencieslTitle	额外技能
Feature/&BardNatureSubclassBonusProficiencieslDescription	您可以熟练掌握从动物处理、医学、自然和生存中选择的两种技能。此外，您还可以熟练使用草药学套件。
Feature/&BardNatureSubclassBonusCantripTitle	奖金 Cantrip
Feature/&BardNatureSubclassBonusCantripDescription	在第 3 级，你学会一首你选择的德鲁伊戏法。这对你来说算是一个吟游诗人的戏法。
Feature/&BardNatureSubclassNaturalFocusTitle	自然焦点
Feature/&BardNatureSubclassNaturalFocusDescription	你获得了一种自然的专注，一个你觉得与之有联系的特定环境。它为您提供额外的法术和能力。
Feature/&BardNatureSubclassArcticNaturalFocusTitle	自然焦点 - 北极
Feature/&BardNatureSubclassArcticNaturalFocusDescription	冰冻的荒地是你的第二个家。你对寒冷伤害有抵抗力。在第 6 级，你将 Hold Person 和 Sleet Storm 添加到你的已知法术列表中。
Feature/&BardNatureSubclassDesertNaturalFocusTitle	自然焦点 - 沙漠
Feature/&BardNatureSubclassDesertNaturalFocusDescription	炽热的阳光和炽热的沙漠是一种舒适。你对火焰伤害有抵抗力。在第 6 级，你将灼热射线和风墙添加到你的已知法术列表中。
Feature/&BardNatureSubclassMountainNaturalFocusTitle	自然焦点 - 山
Feature/&BardNatureSubclassMountainNaturalFocusDescription	高耸在山上的暴风雨为您带来平静与安宁。你对闪电伤害有抵抗力。在第 6 级，你将蜘蛛攀爬和飞行添加到你的已知法术列表中。
Feature/&BardNatureSubclassSwampNaturalFocusTitle	自然焦点 - 沼泽
Feature/&BardNatureSubclassSwampNaturalFocusDescription	您喜欢在浓密、有雾的沼泽中度过时光。你对毒害有抵抗力。在第 6 级，你将酸箭和臭云添加到你的已知法术列表中。
Feature/&BardNatureSubclassEnvironmentalMagicalSecretsTitle	环境神奇的秘密
Feature/&BardNatureSubclassEnvironmentalMagicalSecretsDescription	第 6 级起，每当你学习新的吟游诗人法术时，你可以改为从德鲁伊或游侠法术列表中选择一个法术。你选择的法术必须是你可以施展的等级，并且必须是 1 级或更高。所选法术对您来说算作吟游诗人法术。
